Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set
-75,-0.056152344,Rat,activation,3,Oct_12_16,Late,Good,5
-70,-0.043640137,Rat,activation,3,Oct_12_16,Late,Good,5
-65,-0.054931641,Rat,activation,3,Oct_12_16,Late,Good,5
-60,-0.059814453,Rat,activation,3,Oct_12_16,Late,Good,5
-55,-0.053100586,Rat,activation,3,Oct_12_16,Late,Good,5
-50,-0.108337402,Rat,activation,3,Oct_12_16,Late,Good,5
-45,-0.085144043,Rat,activation,3,Oct_12_16,Late,Good,5
-40,-0.163574219,Rat,activation,3,Oct_12_16,Late,Good,5
-35,-0.182189941,Rat,activation,3,Oct_12_16,Late,Good,5
-30,-0.238952637,Rat,activation,3,Oct_12_16,Late,Good,5
-25,-0.28137207,Rat,activation,3,Oct_12_16,Late,Good,5
-20,-0.316162109,Rat,activation,3,Oct_12_16,Late,Good,5
-15,-0.367126465,Rat,activation,3,Oct_12_16,Late,Good,5
-10,-0.381469727,Rat,activation,3,Oct_12_16,Late,Good,5
-5,-0.433349609,Rat,activation,3,Oct_12_16,Late,Good,5
0,-0.493469238,Rat,activation,3,Oct_12_16,Late,Good,5
5,-0.48614502,Rat,activation,3,Oct_12_16,Late,Good,5
10,-0.412597656,Rat,activation,3,Oct_12_16,Late,Good,5
15,-0.395812988,Rat,activation,3,Oct_12_16,Late,Good,5
20,-0.300292969,Rat,activation,3,Oct_12_16,Late,Good,5
25,-0.204162598,Rat,activation,3,Oct_12_16,Late,Good,5
30,-0.159912109,Rat,activation,3,Oct_12_16,Late,Good,5
35,-0.129394531,Rat,activation,3,Oct_12_16,Late,Good,5
40,-0.060119629,Rat,activation,3,Oct_12_16,Late,Good,5
45,-0.051879883,Rat,activation,3,Oct_12_16,Late,Good,5
50,-0.070800781,Rat,activation,3,Oct_12_16,Late,Good,5
55,-0.063476563,Rat,activation,3,Oct_12_16,Late,Good,5
60,-0.062561035,Rat,activation,3,Oct_12_16,Late,Good,5
65,-0.066833496,Rat,activation,3,Oct_12_16,Late,Good,5
70,-0.072021484,Rat,activation,3,Oct_12_16,Late,Good,5
75,-0.077514648,Rat,activation,3,Oct_12_16,Late,Good,5
80,-0.078430176,Rat,activation,3,Oct_12_16,Late,Good,5
85,-0.066223145,Rat,activation,3,Oct_12_16,Late,Good,5
90,-0.050048828,Rat,activation,3,Oct_12_16,Late,Good,5
-80,-0.036621094,Rat,activation,4,Oct_12_16,No,Good,5
-75,-0.018920898,Rat,activation,4,Oct_12_16,No,Good,5
-70,-0.017700195,Rat,activation,4,Oct_12_16,No,Good,5
-65,-0.028686523,Rat,activation,4,Oct_12_16,No,Good,5
-60,-0.015869141,Rat,activation,4,Oct_12_16,No,Good,5
-55,-0.030822754,Rat,activation,4,Oct_12_16,No,Good,5
-50,-0.023498535,Rat,activation,4,Oct_12_16,No,Good,5
-45,-0.035705566,Rat,activation,4,Oct_12_16,No,Good,5
-40,-0.020446777,Rat,activation,4,Oct_12_16,No,Good,5
-35,-0.035095215,Rat,activation,4,Oct_12_16,No,Good,5
-30,-0.029907227,Rat,activation,4,Oct_12_16,No,Good,5
