Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set
70,-0.537719727,Gmouse,activation,2,Aug_16_17,No,Good,28
75,-0.489501953,Gmouse,activation,2,Aug_16_17,No,Good,28
80,-0.481872559,Gmouse,activation,2,Aug_16_17,No,Good,28
85,-0.480957031,Gmouse,activation,2,Aug_16_17,No,Good,28
90,-0.449829102,Gmouse,activation,2,Aug_16_17,No,Good,28
-80,-0.010986328,Gmouse,activation,2,Aug_16_17,Yes,Good,28
-75,-0.024108887,Gmouse,activation,2,Aug_16_17,Yes,Good,28
-70,-0.006408691,Gmouse,activation,2,Aug_16_17,Yes,Good,28
-65,-0.026550293,Gmouse,activation,2,Aug_16_17,Yes,Good,28
-60,-0.031433105,Gmouse,activation,2,Aug_16_17,Yes,Good,28
-55,-0.014343262,Gmouse,activation,2,Aug_16_17,Yes,Good,28
-50,-0.037231445,Gmouse,activation,2,Aug_16_17,Yes,Good,28
-45,-0.025024414,Gmouse,activation,2,Aug_16_17,Yes,Good,28
-40,-0.043945313,Gmouse,activation,2,Aug_16_17,Yes,Good,28
-35,-0.05065918,Gmouse,activation,2,Aug_16_17,Yes,Good,28
-30,-0.072631836,Gmouse,activation,2,Aug_16_17,Yes,Good,28
-25,-0.094909668,Gmouse,activation,2,Aug_16_17,Yes,Good,28
-20,-0.166625977,Gmouse,activation,2,Aug_16_17,Yes,Good,28
