Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set,,
-20,-0.122680664,NoC,activation,2,Sept_15_17,No,Good,32,,
-15,-0.527648926,NoC,activation,2,Sept_15_17,No,Good,32,,
-10,-1.766357422,NoC,activation,2,Sept_15_17,No,Good,32,,
-5,-2.247314453,NoC,activation,2,Sept_15_17,No,Good,32,,
0,-2.314758301,NoC,activation,2,Sept_15_17,No,Good,32,,
5,-2.25982666,NoC,activation,2,Sept_15_17,No,Good,32,,
10,-2.130126953,NoC,activation,2,Sept_15_17,No,Good,32,,
15,-1.994934082,NoC,activation,2,Sept_15_17,No,Good,32,,
20,-1.856994629,NoC,activation,2,Sept_15_17,No,Good,32,,
25,-1.71875,NoC,activation,2,Sept_15_17,No,Good,32,,
30,-1.572875977,NoC,activation,2,Sept_15_17,No,Good,32,,
35,-1.460266113,NoC,activation,2,Sept_15_17,No,Good,32,,
40,-1.328735352,NoC,activation,2,Sept_15_17,No,Good,32,,
45,-1.210327148,NoC,activation,2,Sept_15_17,No,Good,32,,
50,-1.112365723,NoC,activation,2,Sept_15_17,No,Good,32,,
55,-0.977478027,NoC,activation,2,Sept_15_17,No,Good,32,,
60,-0.862731934,NoC,activation,2,Sept_15_17,No,Good,32,,
65,-0.723571777,NoC,activation,2,Sept_15_17,No,Good,32,,
70,-0.577392578,NoC,activation,2,Sept_15_17,No,Good,32,,
75,-0.430908203,NoC,activation,2,Sept_15_17,No,Good,32,,
80,-0.323791504,NoC,activation,2,Sept_15_17,No,Good,32,,
85,-0.220031738,NoC,activation,2,Sept_15_17,No,Good,32,,
90,-0.128479004,NoC,activation,2,Sept_15_17,No,Good,32,,
-80,-0.009460449,NoC,activation,2,Sept_15_17,Yes,Good,32,,
-75,-0.00793457,NoC,activation,2,Sept_15_17,Yes,Good,32,,
-70,-0.008544922,NoC,activation,2,Sept_15_17,Yes,Good,32,,
-65,-0.017700195,NoC,activation,2,Sept_15_17,Yes,Good,32,,
-60,-0.015563965,NoC,activation,2,Sept_15_17,Yes,Good,32,,
-55,-0.008850098,NoC,activation,2,Sept_15_17,Yes,Good,32,,
-50,-0.02532959,NoC,activation,2,Sept_15_17,Yes,Good,32,,
-45,-0.0390625,NoC,activation,2,Sept_15_17,Yes,Good,32,,
-40,-0.071105957,NoC,activation,2,Sept_15_17,Yes,Good,32,,
